RUN	AdvancedSimulation	advancedsimulation	1710035380641	 	3.2.1
USER	Buscar usuários	116	START	1710035395016	1710035395016
REQUEST	116		GET_usuarios	1710035395017	1710035395023	OK	 
USER	Buscar produtos	120	START	1710035395116	1710035395116
REQUEST	120		GET_produtos	1710035395117	1710035395122	OK	 
USER	Buscar usuários	117	START	1710035395216	1710035395216
REQUEST	117		GET_usuarios	1710035395217	1710035395221	OK	 
USER	Buscar usuários	118	START	1710035395416	1710035395416
REQUEST	118		GET_usuarios	1710035395417	1710035395421	OK	 
USER	Buscar carrinhos	63	END	1710035388616	1710035395557
USER	Buscar produtos	121	START	1710035395616	1710035395616
USER	Buscar usuários	119	START	1710035395616	1710035395616
USER	Buscar carrinhos	122	START	1710035395616	1710035395616
REQUEST	122		GET_carrinhos	1710035395617	1710035395622	OK	 
REQUEST	121		GET_produtos	1710035395617	1710035395623	OK	 
REQUEST	119		GET_usuarios	1710035395617	1710035395623	OK	 
USER	Buscar usuários	90	END	1710035392016	1710035395646
USER	Buscar usuários	102	END	1710035393616	1710035395686
USER	Buscar usuários	123	START	1710035395816	1710035395816
REQUEST	123		GET_usuarios	1710035395817	1710035395819	OK	 
USER	Buscar usuários	99	END	1710035393016	1710035395886
USER	Buscar produtos	128	START	1710035395946	1710035395946
REQUEST	128		GET_produtos	1710035395946	1710035395949	OK	 
USER	Buscar usuários	124	START	1710035396016	1710035396016
REQUEST	124		GET_usuarios	1710035396017	1710035396020	OK	 
USER	Buscar usuários	125	START	1710035396215	1710035396215
REQUEST	125		GET_usuarios	1710035396217	1710035396220	OK	 
USER	Buscar usuários	92	END	1710035392416	1710035396226
USER	Buscar produtos	94	END	1710035391946	1710035396226
USER	Buscar produtos	129	START	1710035396276	1710035396276
REQUEST	129		GET_produtos	1710035396277	1710035396282	OK	 
USER	Buscar usuários	98	END	1710035392816	1710035396336
USER	Buscar produtos	95	END	1710035392286	1710035396357
USER	Buscar usuários	126	START	1710035396415	1710035396415
REQUEST	126		GET_usuarios	1710035396416	1710035396418	OK	 
USER	Buscar produtos	130	START	1710035396616	1710035396616
USER	Buscar usuários	127	START	1710035396616	1710035396616
USER	Buscar carrinhos	131	START	1710035396616	1710035396616
REQUEST	130		GET_produtos	1710035396617	1710035396622	OK	 
REQUEST	127		GET_usuarios	1710035396617	1710035396622	OK	 
REQUEST	131		GET_carrinhos	1710035396617	1710035396622	OK	 
USER	Buscar usuários	91	END	1710035392216	1710035396667
USER	Buscar usuários	109	END	1710035394416	1710035396676
USER	Buscar carrinhos	97	END	1710035392617	1710035396696
USER	Buscar usuários	93	END	1710035392616	1710035396716
USER	Buscar usuários	132	START	1710035396806	1710035396806
REQUEST	132		GET_usuarios	1710035396807	1710035396810	OK	 
USER	Buscar usuários	110	END	1710035394615	1710035396816
USER	Buscar usuários	101	END	1710035393416	1710035396926
USER	Buscar usuários	133	START	1710035397006	1710035397006
REQUEST	133		GET_usuarios	1710035397008	1710035397013	OK	 
USER	Buscar carrinhos	80	END	1710035390616	1710035397066
USER	Buscar usuários	100	END	1710035393216	1710035397076
USER	Buscar produtos	137	START	1710035397106	1710035397106
REQUEST	137		GET_produtos	1710035397107	1710035397111	OK	 
USER	Buscar usuários	134	START	1710035397206	1710035397206
REQUEST	134		GET_usuarios	1710035397207	1710035397210	OK	 
USER	Buscar produtos	96	END	1710035392616	1710035397296
USER	Buscar produtos	87	END	1710035391616	1710035397316
USER	Buscar usuários	107	END	1710035394016	1710035397377
USER	Buscar usuários	135	START	1710035397406	1710035397406
REQUEST	135		GET_usuarios	1710035397407	1710035397410	OK	 
USER	Buscar carrinhos	88	END	1710035391616	1710035397466
USER	Buscar usuários	108	END	1710035394216	1710035397476
USER	Buscar produtos	138	START	1710035397606	1710035397606
USER	Buscar usuários	136	START	1710035397606	1710035397606
REQUEST	136		GET_usuarios	1710035397607	1710035397611	OK	 
REQUEST	138		GET_produtos	1710035397606	1710035397610	OK	 
USER	Buscar carrinhos	139	START	1710035397617	1710035397617
REQUEST	139		GET_carrinhos	1710035397617	1710035397620	OK	 
USER	Buscar usuários	116	END	1710035395016	1710035397726
USER	Buscar usuários	140	START	1710035397816	1710035397816
REQUEST	140		GET_usuarios	1710035397819	1710035397823	OK	 
USER	Buscar produtos	145	START	1710035397946	1710035397946
REQUEST	145		GET_produtos	1710035397947	1710035397954	OK	 
USER	Buscar usuários	141	START	1710035398016	1710035398016
REQUEST	141		GET_usuarios	1710035398017	1710035398023	OK	 
USER	Buscar produtos	104	END	1710035393616	1710035398146
USER	Buscar usuários	123	END	1710035395816	1710035398146
USER	Buscar usuários	119	END	1710035395616	1710035398197
USER	Buscar usuários	142	START	1710035398216	1710035398216
REQUEST	142		GET_usuarios	1710035398217	1710035398222	OK	 
USER	Buscar produtos	146	START	1710035398286	1710035398286
REQUEST	146		GET_produtos	1710035398288	1710035398293	OK	 
USER	Buscar usuários	115	END	1710035394816	1710035398296
USER	Buscar usuários	143	START	1710035398416	1710035398416
REQUEST	143		GET_usuarios	1710035398417	1710035398422	OK	 
USER	Buscar usuários	124	END	1710035396016	1710035398546
USER	Buscar usuários	144	START	1710035398616	1710035398616
USER	Buscar produtos	147	START	1710035398616	1710035398616
USER	Buscar carrinhos	148	START	1710035398616	1710035398616
REQUEST	144		GET_usuarios	1710035398617	1710035398622	OK	 
REQUEST	147		GET_produtos	1710035398617	1710035398623	OK	 
REQUEST	148		GET_carrinhos	1710035398618	1710035398623	OK	 
USER	Buscar produtos	121	END	1710035395616	1710035398646
USER	Buscar produtos	111	END	1710035393946	1710035398676
USER	Buscar usuários	106	END	1710035393816	1710035398696
USER	Buscar usuários	149	START	1710035398816	1710035398816
REQUEST	149		GET_usuarios	1710035398817	1710035398821	OK	 
USER	Buscar produtos	103	END	1710035393116	1710035399016
USER	Buscar usuários	150	START	1710035399016	1710035399016
REQUEST	150		GET_usuarios	1710035399018	1710035399022	OK	 
USER	Buscar usuários	117	END	1710035395216	1710035399107
USER	Buscar produtos	154	START	1710035399116	1710035399116
REQUEST	154		GET_produtos	1710035399117	1710035399121	OK	 
USER	Buscar usuários	151	START	1710035399216	1710035399216
REQUEST	151		GET_usuarios	1710035399217	1710035399220	OK	 
USER	Buscar produtos	120	END	1710035395116	1710035399417
USER	Buscar usuários	152	START	1710035399417	1710035399417
REQUEST	152		GET_usuarios	1710035399419	1710035399423	OK	 
USER	Buscar carrinhos	105	END	1710035393616	1710035399487
USER	Buscar usuários	153	START	1710035399616	1710035399616
USER	Buscar produtos	155	START	1710035399617	1710035399617
USER	Buscar carrinhos	156	START	1710035399617	1710035399617
REQUEST	153		GET_usuarios	1710035399618	1710035399623	OK	 
REQUEST	156		GET_carrinhos	1710035399618	1710035399623	OK	 
REQUEST	155		GET_produtos	1710035399618	1710035399624	OK	 
USER	Buscar produtos	130	END	1710035396616	1710035399666
USER	Buscar usuários	134	END	1710035397206	1710035399707
USER	Buscar usuários	127	END	1710035396616	1710035399807
