ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710037188708	 	3.2.1
USER	Buscar usuários	126	END	1710037204488	1710037207337
USER	Buscar usuários	152	START	1710037207487	1710037207487
REQUEST	152		GET_usuarios	1710037207488	1710037207493	OK	 
USER	Buscar carrinhos	97	END	1710037200687	1710037207508
USER	Buscar usuários	127	END	1710037204687	1710037207639
USER	Buscar produtos	155	START	1710037207687	1710037207687
USER	Buscar usuários	153	START	1710037207687	1710037207687
USER	Buscar carrinhos	156	START	1710037207687	1710037207687
REQUEST	153		GET_usuarios	1710037207688	1710037207693	OK	 
REQUEST	155		GET_produtos	1710037207688	1710037207693	OK	 
REQUEST	156		GET_carrinhos	1710037207688	1710037207693	OK	 
USER	Buscar usuários	124	END	1710037204087	1710037207717
USER	Buscar produtos	130	END	1710037204687	1710037207826
USER	Buscar usuários	125	END	1710037204288	1710037207858
USER	Buscar produtos	113	END	1710037202687	1710037207877
USER	Buscar usuários	157	START	1710037207887	1710037207887
REQUEST	157		GET_usuarios	1710037207888	1710037207891	OK	 
USER	Buscar produtos	162	START	1710037208017	1710037208017
REQUEST	162		GET_produtos	1710037208018	1710037208024	OK	 
USER	Buscar usuários	117	END	1710037203287	1710037208037
USER	Buscar usuários	132	END	1710037204888	1710037208057
USER	Buscar produtos	112	END	1710037202357	1710037208087
USER	Buscar usuários	135	END	1710037205487	1710037208087
USER	Buscar usuários	158	START	1710037208087	1710037208087
REQUEST	158		GET_usuarios	1710037208088	1710037208092	OK	 
USER	Buscar produtos	120	END	1710037203187	1710037208117
USER	Buscar carrinhos	122	END	1710037203688	1710037208127
USER	Buscar usuários	133	END	1710037205087	1710037208157
USER	Buscar usuários	159	START	1710037208287	1710037208287
REQUEST	159		GET_usuarios	1710037208288	1710037208293	OK	 
USER	Buscar usuários	141	END	1710037206087	1710037208297
USER	Buscar produtos	163	START	1710037208357	1710037208357
REQUEST	163		GET_produtos	1710037208357	1710037208360	OK	 
USER	Buscar usuários	142	END	1710037206287	1710037208387
USER	Buscar usuários	136	END	1710037205688	1710037208467
USER	Buscar usuários	160	START	1710037208487	1710037208487
REQUEST	160		GET_usuarios	1710037208487	1710037208491	OK	 
USER	Buscar usuários	140	END	1710037205887	1710037208497
USER	Buscar usuários	119	END	1710037203688	1710037208677
USER	Buscar usuários	161	START	1710037208687	1710037208687
USER	Buscar produtos	164	START	1710037208687	1710037208687
USER	Buscar carrinhos	165	START	1710037208687	1710037208687
REQUEST	161		GET_usuarios	1710037208688	1710037208693	OK	 
